outcome,text,appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,outcome
Dismissed,appeal_district: North-West | trial_district: North-West | offence: Rape_sexual_abuse | sentence: Prison_term | no_complainant: 1 | no_male_complainant: 0 | no_female_complainant: 1 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 4 | no_eye_witness: 1 | no_defense_witness: 0 | outcome: Dismissed,North-West,North-West,Rape_sexual_abuse,Prison_term,1,0,1,1,1,0,4,1,0,Dismissed
Dismissed,appeal_district: South-East | trial_district: South-East | offence: Armed_robbery | sentence: Death | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 2 | no_eye_witness: 1 | no_defense_witness: 0 | outcome: Dismissed,South-East,South-East,Armed_robbery,Death,1,1,0,1,1,0,2,1,0,Dismissed
Dismissed,appeal_district: South-South | trial_district: South-South | offence: Damage_property | sentence: Prison_term_fine | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 10 | no_male_appealant: 10 | no_female_appealant: 0 | no_public_witness: 4 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-South,South-South,Damage_property,Prison_term_fine,1,1,0,10,10,0,4,0,0,Dismissed
Dismissed,appeal_district: South-South | trial_district: South-South | offence: Murder_manslaughter | sentence: Death | no_complainant: 2 | no_male_complainant: 0 | no_female_complainant: 2 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 2 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-South,South-South,Murder_manslaughter,Death,2,0,2,1,1,0,2,0,0,Dismissed
Dismissed,appeal_district: South-East | trial_district: Missing | offence: Missing | sentence: Payment_damages | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 2 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: -1 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-East,Missing,Missing,Payment_damages,1,1,0,2,1,0,-1,0,0,Dismissed
Dismissed,appeal_district: Missing | trial_district: Missing | offence: Fraud_impersonation | sentence: Payment_damages | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 2 | no_male_appealant: 2 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,Missing,Missing,Fraud_impersonation,Payment_damages,1,1,0,2,2,0,0,0,0,Dismissed
Dismissed,appeal_district: South-West | trial_district: Missing | offence: Armed_robbery | sentence: Death | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 4 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-West,Missing,Armed_robbery,Death,1,1,0,1,4,0,0,0,0,Dismissed
Dismissed,appeal_district: South-West | trial_district: Missing | offence: Unlawful_possession | sentence: Missing | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-West,Missing,Unlawful_possession,Missing,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: FCT | trial_district: Missing | offence: Missing | sentence: Missing | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,FCT,Missing,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: South-South | trial_district: Missing | offence: Armed_robbery | sentence: Prison_term | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 2 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-South,Missing,Armed_robbery,Prison_term,1,1,0,1,1,0,2,0,0,Dismissed
Dismissed,appeal_district: South-West | trial_district: Missing | offence: Human_rights_violation | sentence: Missing | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-West,Missing,Human_rights_violation,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: South-West | trial_district: South-West | offence: Armed_robbery | sentence: Prison_term | no_complainant: 1 | no_male_complainant: 0 | no_female_complainant: 1 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 2 | no_eye_witness: 5 | no_defense_witness: 3 | outcome: Dismissed,South-West,South-West,Armed_robbery,Prison_term,1,0,1,1,1,0,2,5,3,Dismissed
Dismissed,appeal_district: FCT | trial_district: Missing | offence: Trespassing | sentence: Payment_damages | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,FCT,Missing,Trespassing,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: North-West | trial_district: North-West | offence: Rape_sexual_abuse | sentence: Prison_term | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,North-West,North-West,Rape_sexual_abuse,Prison_term,1,1,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: South-South | trial_district: South-South | offence: Missing | sentence: Missing | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-South,South-South,Missing,Missing,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: North-Central | trial_district: North-Central | offence: Missing | sentence: Missing | no_complainant: -1 | no_male_complainant: -1 | no_female_complainant: -1 | no_appealant: 3 | no_male_appealant: 3 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,North-Central,North-Central,Missing,Missing,-1,-1,-1,3,3,0,0,0,0,Dismissed
Dismissed,appeal_district: South-West | trial_district: Missing | offence: Missing | sentence: Fine | no_complainant: -1 | no_male_complainant: -1 | no_female_complainant: -1 | no_appealant: -1 | no_male_appealant: -1 | no_female_appealant: -1 | no_public_witness: -1 | no_eye_witness: -1 | no_defense_witness: -1 | outcome: Dismissed,South-West,Missing,Missing,Fine,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Dismissed,appeal_district: South-West | trial_district: Missing | offence: Missing | sentence: Missing | no_complainant: -1 | no_male_complainant: -1 | no_female_complainant: -1 | no_appealant: 2 | no_male_appealant: 2 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-West,Missing,Missing,Missing,-1,-1,-1,2,2,0,0,0,0,Dismissed
Dismissed,appeal_district: South-South | trial_district: North-Central | offence: Unlawful_termination_appointment | sentence: Missing | no_complainant: -1 | no_male_complainant: -1 | no_female_complainant: -1 | no_appealant: 2 | no_male_appealant: 2 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: -1 | no_defense_witness: -1 | outcome: Dismissed,South-South,North-Central,Unlawful_termination_appointment,Missing,-1,-1,-1,2,2,0,0,-1,-1,Dismissed
Dismissed,appeal_district: Missing | trial_district: Missing | offence: Missing | sentence: Missing | no_complainant: -1 | no_male_complainant: -1 | no_female_complainant: -1 | no_appealant: -1 | no_male_appealant: -1 | no_female_appealant: -1 | no_public_witness: -1 | no_eye_witness: -1 | no_defense_witness: -1 | outcome: Dismissed,Missing,Missing,Missing,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Dismissed,appeal_district: South-West | trial_district: Missing | offence: Missing | sentence: Missing | no_complainant: 1 | no_male_complainant: 0 | no_female_complainant: 1 | no_appealant: 6 | no_male_appealant: 6 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-West,Missing,Missing,Missing,1,0,1,6,6,0,0,0,0,Dismissed
Granted,appeal_district: South-West | trial_district: Missing | offence: Missing | sentence: Missing | no_complainant: 1 | no_male_complainant: 0 | no_female_complainant: 1 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Granted,South-West,Missing,Missing,Missing,1,0,1,1,1,0,0,0,0,Granted
Dismissed,appeal_district: South-East | trial_district: South-East | offence: Others | sentence: Payment_damages | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 0 | no_male_appealant: 0 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-East,South-East,Others,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
Dismissed,appeal_district: South-West | trial_district: Missing | offence: Missing | sentence: Missing | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-West,Missing,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: South-West | trial_district: Missing | offence: Law_of_tort | sentence: Missing | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-West,Missing,Law_of_tort,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: Missing | trial_district: Missing | offence: Others | sentence: Payment_damages | no_complainant: 1 | no_male_complainant: 0 | no_female_complainant: 1 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,Missing,Missing,Others,Payment_damages,1,0,1,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: South-East | trial_district: Missing | offence: Libel | sentence: Missing | no_complainant: 1 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 4 | no_eye_witness: 0 | no_defense_witness: 2 | outcome: Dismissed,South-East,Missing,Libel,Missing,1,0,0,1,1,0,4,0,2,Dismissed
Dismissed,appeal_district: South-South | trial_district: Missing | offence: Court_order_violation | sentence: Payment_damages | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 0 | no_female_appealant: 1 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-South,Missing,Court_order_violation,Payment_damages,0,0,0,1,0,1,0,0,0,Dismissed
Granted,appeal_district: South-East | trial_district: Missing | offence: Law_of_tort | sentence: Missing | no_complainant: 1 | no_male_complainant: 1 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Granted,South-East,Missing,Law_of_tort,Missing,1,1,0,1,1,0,0,0,0,Granted
Dismissed,appeal_district: North-East | trial_district: North-Central | offence: Missing | sentence: Payment_damages | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,North-East,North-Central,Missing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: Missing | trial_district: South-West | offence: Others | sentence: Missing | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 0 | no_male_appealant: 0 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,Missing,South-West,Others,Missing,0,0,0,0,0,0,0,0,0,Dismissed
